edge,opex_specific_fixed
BE-NO,62.45115887104174
BE-UK,62.45115887104174
DE-NO,62.45115887104174
DE-SE,62.45115887104174
DE-UK,62.45115887104174
DK-NL,62.45115887104174
DK-NO,62.45115887104174
DK-SE,62.45115887104174
DK-UK,62.45115887104174
EE-FI,62.45115887104174
EL-IT,62.45115887104174
FI-EE,62.45115887104174
FR-NO,62.45115887104174
FR-UK,62.45115887104174
IT-EL,62.45115887104174
LT-SE,62.45115887104174
NL-DK,62.45115887104174
NL-NO,62.45115887104174
NL-UK,62.45115887104174
NO-BE,62.45115887104174
NO-DE,62.45115887104174
NO-DK,62.45115887104174
NO-FR,62.45115887104174
NO-NL,62.45115887104174
NO-UK,62.45115887104174
PL-SE,62.45115887104174
SE-DE,62.45115887104174
SE-DK,62.45115887104174
SE-LT,62.45115887104174
SE-PL,62.45115887104174
UK-BE,62.45115887104174
UK-DE,62.45115887104174
UK-DK,62.45115887104174
UK-FR,62.45115887104174
UK-NL,62.45115887104174
UK-NO,62.45115887104174
