edge,capex_per_distance_transport
BE-NO,4853.916666666666
BE-UK,4853.916666666666
DE-NO,4853.916666666666
DE-SE,4853.916666666666
DE-UK,4853.916666666666
DK-NL,4853.916666666666
DK-NO,4853.916666666666
DK-SE,4853.916666666666
DK-UK,4853.916666666666
EE-FI,4853.916666666666
EL-IT,4853.916666666666
FI-EE,4853.916666666666
FR-NO,4853.916666666666
FR-UK,4853.916666666666
IT-EL,4853.916666666666
LT-SE,4853.916666666666
NL-DK,4853.916666666666
NL-NO,4853.916666666666
NL-UK,4853.916666666666
NO-BE,4853.916666666666
NO-DE,4853.916666666666
NO-DK,4853.916666666666
NO-FR,4853.916666666666
NO-NL,4853.916666666666
NO-UK,4853.916666666666
PL-SE,4853.916666666666
SE-DE,4853.916666666666
SE-DK,4853.916666666666
SE-LT,4853.916666666666
SE-PL,4853.916666666666
UK-BE,4853.916666666666
UK-DE,4853.916666666666
UK-DK,4853.916666666666
UK-FR,4853.916666666666
UK-NL,4853.916666666666
UK-NO,4853.916666666666
