node,year,capacity_limit
BE,2025,0.49704
CZ,2025,0.02
DE,2025,3.322128
DK,2025,1.5489600000000001
EL,2025,0.0376
ES,2025,0.4101232
FI,2025,3.0963595820000003
FR,2025,0.1472
HU,2025,0.09592
IT,2025,1.2679200000000002
NL,2025,0.21070674272
PL,2025,0.2512
PT,2025,0.46776000000000006
SE,2025,1.8393251782400002
UK,2025,2.8471200000000003
AL,2025,0.0
AT,2025,0.0
BA,2025,0.0
BG,2025,0.0
CY,2025,0.0
EE,2025,0.0
HR,2025,0.0
IE,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NO,2025,0.0
RO,2025,0.0
RS,2025,0.0
SI,2025,0.0
SK,2025,0.0
AL,2030,0.1
AT,2030,0.9888385000000001
BA,2030,0.1
BE,2030,0.7990125
BG,2030,0.3926
CY,2030,0.01573
CZ,2030,0.85124
DE,2030,16.987861799999997
DK,2030,0.009438
EE,2030,0.217945
EL,2030,0.5602961000000001
ES,2030,2.249
FI,2030,3.4122660000000002
FR,2030,3.1538000000000004
HR,2030,0.2574
HU,2030,0.2902172
IE,2030,0.09100000000000001
IT,2030,5.783739
LT,2030,0.272857
LU,2030,0.15769
LV,2030,0.2067234
ME,2030,0.0637
MK,2030,0.0403
MT,2030,0.1
NL,2030,0.5395
NO,2030,0.1
PL,2030,2.8015702000000005
PT,2030,2.1021
RO,2030,0.1781
RS,2030,0.170287
SE,2030,5.795939499999999
SI,2030,0.0795639
SK,2030,0.5214937
UK,2030,3.7780158000000004
