node,kerosene
AT,0.4420332191780822
BE,1.5943179223744293
BG,0.18756301369863015
CH,0.4420332191780822
CZ,0.20320913242009134
DE,6.431671689497716
DK,0.46297648401826486
EE,0.03345947488584475
EL,0.5889987442922374
ES,3.3603595890410958
FI,0.4132832191780822
FR,4.839227511415525
HR,0.07848002283105021
HU,0.13462568493150684
IE,0.5282480593607306
IT,2.438218378995434
LT,0.07218812785388129
LU,0.7257484018264839
LV,0.07750285388127853
NL,2.950445091324201
NO,0.5369022831050229
PL,0.6260933789954338
PT,0.8084656392694064
RO,0.11266529680365296
SE,0.5376328767123287
SI,0.01320582191780822
SK,0.038444977168949776
UK,17.23354920091324
